iter,particle_idx,x,y,fitness
0,0,5.930860e+00,-6.331304e+00,7.526051e+01
0,1,5.593820e+00,1.937003e+00,3.504280e+01
0,2,-1.083345e+00,-8.000502e+00,6.518166e+01
0,3,-8.150222e-01,-3.325828e+00,1.172539e+01
0,4,-7.142664e+00,3.017769e+00,6.012458e+01
0,5,-8.871768e+00,4.439975e+00,9.842166e+01
0,6,8.771054e+00,-9.984425e+00,1.766201e+02
0,7,9.844231e+00,2.349630e+00,1.024297e+02
0,8,2.233063e+00,-9.858674e+00,1.021800e+02
0,9,-9.538751e+00,4.954932e-01,9.123329e+01
0,10,-2.002780e+00,-9.066687e+00,8.621594e+01
0,11,9.475110e+00,-5.344573e+00,1.183422e+02
0,12,-8.187871e+00,2.367720e+00,7.264734e+01
0,13,-2.350760e+00,9.664618e+00,9.893091e+01
0,14,-6.647420e-01,7.198808e+00,5.226472e+01
0,15,3.606151e+00,-9.900149e-01,1.398445e+01
0,16,-9.734701e+00,8.844035e+00,1.729814e+02
0,17,1.265764e+00,-2.291670e+00,6.853910e+00
0,18,-9.680675e+00,-5.382124e+00,1.226827e+02
0,19,-5.179491e+00,3.665270e+00,4.026133e+01
1,0,5.609507e+00,-3.233970e+00,4.192513e+01
1,1,5.593820e+00,1.937003e+00,3.504280e+01
1,2,-7.268394e-01,-3.623185e+00,1.365577e+01
1,3,-8.150222e-01,-3.325828e+00,1.172539e+01
1,4,-4.071852e+00,-6.169402e+00,5.464150e+01
1,5,-6.476551e+00,3.586385e+00,5.480787e+01
1,6,2.582824e+00,-3.512362e+00,1.900767e+01
1,7,3.913166e+00,-1.140553e-01,1.532588e+01
1,8,-7.766937e+00,-6.308865e+00,1.001271e+02
1,9,-4.807288e+00,-8.252086e+00,9.120694e+01
1,10,-2.002780e+00,-9.066687e+00,8.621594e+01
1,11,-5.248896e-01,-5.070159e+00,2.598202e+01
1,12,-8.187871e+00,2.367720e+00,7.264734e+01
1,13,-1.069051e+00,7.475605e+00,5.702753e+01
1,14,5.121944e+00,-2.801192e+00,3.408099e+01
1,15,3.606151e+00,-9.900149e-01,1.398445e+01
1,16,-4.379087e+00,1.534167e+00,2.153007e+01
1,17,1.265764e+00,-2.291670e+00,6.853910e+00
1,18,-2.891381e+00,-1.948219e+00,1.215564e+01
1,19,-5.179491e+00,3.665270e+00,4.026133e+01
2,0,5.433208e+00,-3.496395e-01,2.964200e+01
2,1,4.227335e+00,-1.003040e+00,1.887645e+01
2,2,-5.178107e-01,1.802996e-01,3.006359e-01
